Country,ISO3,Region,Income_Level,GDP_Growth,Inflation,Internet_Penetration,Population,Population_Millions
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,-6.24017199240269,13.7121023720065,17.1917,40578842,40.578842
Albania,ALB,Europe & Central Asia,Upper middle income,4.82669611912765,6.72520271530052,82.6137,2777689,2.777689
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,3.60000000094915,9.26551551551555,74.8319,45477389,45.477389
Angola,AGO,Sub-Saharan Africa ,Lower middle income,3.04472652391918,21.3552901320822,42.0719,35635029,35.635029
Antigua and Barbuda,ATG,Latin America & Caribbean ,High income,9.10780623385958,7.53107834634287,77.1648,92840,0.09284
Argentina,ARG,Latin America & Caribbean ,Upper middle income,5.26987967384072,72.430757531824,88.3754,45407904,45.407904
Armenia,ARM,Europe & Central Asia,Upper middle income,12.5999999997766,8.64091108973852,77.0277,2969200,2.9692
Australia,AUS,East Asia & Pacific,High income,4.24238555336139,6.59409671341846,97.0424,26014399,26.014399
Austria,AUT,Europe & Central Asia,High income,5.27789448538658,8.54686993188449,93.6141,9041851,9.041851
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,4.71468037857544,13.8522590144267,88.0,10141756,10.141756
"Bahamas, The",BHS,Latin America & Caribbean ,High income,10.8774550145968,5.60540633583038,94.7326,397538,0.397538
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income,6.18016125475185,3.62574104304489,100.0,1524693,1.524693
Bangladesh,BGD,South Asia,Lower middle income,7.09982877575158,7.69695437176898,41.6165,169384897,169.384897
Belarus,BLR,Europe & Central Asia,Upper middle income,-4.65839591573585,15.209675274081,89.5073,9228071,9.228071
Belgium,BEL,Europe & Central Asia,High income,4.2593607365269,9.59751172872501,94.0078,11680210,11.68021
Belize,BLZ,Latin America & Caribbean ,Upper middle income,9.65297772389758,6.27689319447547,71.8096,402733,0.402733
Benin,BEN,Sub-Saharan Africa ,Lower middle income,6.25294705373625,1.35077863583529,30.0134,13759501,13.759501
Bhutan,BTN,South Asia,Lower middle income,5.21386783786224,5.63916671396366,86.2903,780914,0.780914
Bolivia,BOL,Latin America & Caribbean ,Lower middle income,3.60568042633635,1.74632872945968,67.3612,12077154,12.077154
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,4.22681101095546,14.0208440826771,78.8455,3204802,3.204802
Botswana,BWA,Sub-Saharan Africa ,Upper middle income,5.48601706446772,11.665567478802,80.3696,2439892,2.439892
Brazil,BRA,Latin America & Caribbean ,Upper middle income,3.01669435393015,9.28010608956872,80.5278,210306415,210.306415
Brunei Darussalam,BRN,East Asia & Pacific,High income,-1.62833154022366,3.68225030604211,98.9704,455370,0.45537
Bulgaria,BGR,Europe & Central Asia,High income,4.03877758301681,15.3252589264367,79.1269,6465097,6.465097
Burundi,BDI,Sub-Saharan Africa ,Low income,1.84899943948213,18.8008786664945,11.0009,13321097,13.321097
Cabo Verde,CPV,Sub-Saharan Africa ,Upper middle income,15.843675684642,7.9309292543009,72.7601,519741,0.519741
Cambodia,KHM,East Asia & Pacific,Lower middle income,5.12990110767267,5.34370264895434,59.6606,17201724,17.201724
Cameroon,CMR,Sub-Saharan Africa ,Lower middle income,3.7367840056412,6.24767713343864,41.775,27632771,27.632771
Canada,CAN,North America,High income,4.18903628100851,6.80280115341609,94.0,38935934,38.935934
Central African Republic,CAF,Sub-Saharan Africa ,Low income,0.453901881507008,5.58316735183248,,5098039,5.098039
Chad,TCD,Sub-Saharan Africa ,Low income,12.8966164300082,5.78802687843618,12.4865,18455316,18.455316
Chile,CHL,Latin America & Caribbean ,High income,2.15399356192458,11.643866711056,93.5377,19553036,19.553036
China,CHN,East Asia & Pacific,Upper middle income,3.1341888719577,1.97357555739052,75.6113,1412175000,1412.175
Colombia,COL,Latin America & Caribbean ,Upper middle income,7.32827729427979,10.1772313546166,72.7964,51737944,51.737944
"Congo, Rep.",COG,Sub-Saharan Africa ,Lower middle income,1.47535613247133,3.04344334698473,37.4939,6035104,6.035104
Costa Rica,CRI,Latin America & Caribbean ,High income,4.55149177958398,8.27477490232656,82.598,5081765,5.081765
Cote d'Ivoire,CIV,Sub-Saharan Africa ,Lower middle income,6.39988362720531,5.27616724262842,38.4133,30395002,30.395002
Croatia,HRV,Europe & Central Asia,High income,7.28793643206565,10.7805806758686,82.0716,3855641,3.855641
Cyprus,CYP,Europe & Central Asia,High income,7.20486780743879,8.39548297993332,89.601,1331370,1.33137
Czechia,CZE,Europe & Central Asia,High income,2.8471706583814,15.1001651468372,84.5401,10672118,10.672118
Denmark,DNK,Europe & Central Asia,High income,1.54017307357893,7.69656699889264,97.8601,5903037,5.903037
Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5.16653702854374,5.17980847967062,63.2573,1137096,1.137096
Dominica,DMA,Latin America & Caribbean ,Upper middle income,10.3968076616121,2.88490226829352,83.3101,66826,0.066826
Dominican Republic,DOM,Latin America & Caribbean ,Upper middle income,5.23795652902595,8.81109209279586,81.5127,11230734,11.230734
Ecuador,ECU,Latin America & Caribbean ,Upper middle income,5.86842354862311,3.46616972213076,69.7181,17823897,17.823897
"Egypt, Arab Rep.",EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,6.58784560886967,13.8956609775178,72.1981,112618250,112.61825
El Salvador,SLV,Latin America & Caribbean ,Upper middle income,2.95461516549889,7.19861615609861,65.5298,6280319,6.280319
Equatorial Guinea,GNQ,Sub-Saharan Africa ,Upper middle income,3.22350831658598,4.78671704710806,59.3433,1803545,1.803545
Estonia,EST,Europe & Central Asia,High income,0.0604305165130938,19.3982634080616,91.5202,1348840,1.34884
Ethiopia,ETH,Sub-Saharan Africa ,Not classified,5.32175988403378,33.8898797100898,,125384287,125.384287
Fiji,FJI,East Asia & Pacific,Upper middle income,19.7927266886699,4.52019266394958,78.2433,919422,0.919422
Finland,FIN,Europe & Central Asia,High income,0.763041912763526,7.12350773301401,92.9888,5556106,5.556106
France,FRA,Europe & Central Asia,High income,2.57084047567793,5.22236748369736,85.3333,68065015,68.065015
Gabon,GAB,Sub-Saharan Africa ,Upper middle income,3.03761449525692,4.23124798274575,70.7069,2430747,2.430747
"Gambia, The",GMB,Sub-Saharan Africa ,Low income,5.49299825508946,11.5131198380505,44.0389,2636470,2.63647
Georgia,GEO,Europe & Central Asia,Upper middle income,10.9585321385624,11.8981654203198,78.7113,3712502,3.712502
Germany,DEU,Europe & Central Asia,High income,1.36973104612758,6.87257438551096,91.6298,83797985,83.797985
Ghana,GHA,Sub-Saharan Africa ,Lower middle income,3.80484980952164,31.2558951049016,69.3607,33149152,33.149152
Greece,GRC,Europe & Central Asia,High income,5.74364902526337,9.64525981280638,83.1707,10436882,10.436882
Grenada,GRD,Latin America & Caribbean ,Upper middle income,7.32074061551874,2.58053925907924,74.2689,116913,0.116913
Guatemala,GTM,Latin America & Caribbean ,Upper middle income,4.18451808712605,6.88512823344283,55.4086,17847877,17.847877
Guinea,GIN,Sub-Saharan Africa ,Lower middle income,3.97240784200721,10.4930409984424,24.6954,14055137,14.055137
Guinea-Bissau,GNB,Sub-Saharan Africa ,Low income,5.58513728011474,9.39075933985203,27.5672,2105529,2.105529
Guyana,GUY,Latin America & Caribbean ,High income,63.3346343654855,6.11505550109937,78.3924,821637,0.821637
Haiti,HTI,Latin America & Caribbean ,Lower middle income,-1.68198396897978,33.98393194707,,11503606,11.503606
Honduras,HND,Latin America & Caribbean ,Lower middle income,4.14356194013767,9.08963911525025,56.3896,10463872,10.463872
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,-3.68375141698573,1.88136707196852,95.6136,7346100,7.3461
Hungary,HUN,Europe & Central Asia,High income,4.27034755162904,14.6081439492433,89.1428,9605074,9.605074
Iceland,ISL,Europe & Central Asia,High income,8.97897085175497,8.30875511558923,99.8082,382003,0.382003
India,IND,South Asia,Lower middle income,7.60936497768895,6.69903414079849,55.9,1425423212,1425.423212
Indonesia,IDN,East Asia & Pacific,Upper middle income,5.30719722664799,4.20946463714783,66.4846,278830529,278.830529
"Iran, Islamic Rep.",IRN,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,3.77663140152906,43.4884641742178,79.061,89524246,89.524246
Iraq,IRQ,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,7.95904804992662,4.99476596381041,78.7156,44070551,44.070551
Ireland,IRL,Europe & Central Asia,High income,8.61950345618772,7.82945736434107,96.6206,5212836,5.212836
Israel,ISR,"Middle East, North Africa, Afghanistan & Pakistan",High income,6.26326343841286,4.41162725488366,91.8508,9557500,9.5575
Italy,ITA,Europe & Central Asia,High income,4.82117669913565,8.20128991161714,85.0607,59013667,59.013667
Jamaica,JAM,Latin America & Caribbean ,Upper middle income,5.22151985159613,10.3495688391272,82.4453,2839144,2.839144
Japan,JPN,East Asia & Pacific,High income,0.941998775483285,2.49770278172251,84.9234,125124989,125.124989
Jordan,JOR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2.64743514912058,4.22915568897118,90.5,11256263,11.256263
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,3.19999999970734,15.0278644440851,92.2969,20034609,20.034609
Kenya,KEN,Sub-Saharan Africa ,Lower middle income,4.85998104287999,7.65986268272222,,54252461,54.252461
Kiribati,KIR,East Asia & Pacific,Lower middle income,4.56632593100372,5.34595440908903,,130469,0.130469
"Korea, Rep.",KOR,East Asia & Pacific,High income,2.61267219187226,5.0895136506284,97.1686,51672569,51.672569
Kosovo,XKX,Europe & Central Asia,Upper middle income,4.27849895827543,11.5805104542013,,1768096,1.768096
Kuwait,KWT,"Middle East, North Africa, Afghanistan & Pakistan",High income,6.75866704650672,3.98064961990316,99.7237,4589643,4.589643
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,8.96750520041391,13.9229093174176,82.5991,6975220,6.97522
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2.70742652643155,22.9562225132056,62.7001,7559007,7.559007
Latvia,LVA,Europe & Central Asia,High income,1.80677198008065,17.3102830198815,91.0301,1879383,1.879383
Lebanon,LBN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,-0.621678970663112,171.205491336641,82.798,5744489,5.744489
Lesotho,LSO,Sub-Saharan Africa ,Lower middle income,2.38778020186284,8.27180389943026,46.5007,2286110,2.28611
Liberia,LBR,Sub-Saharan Africa ,Low income,4.80810517290655,7.59298486560314,21.8966,5373294,5.373294
Libya,LBY,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,-8.25163004105288,4.51030149235701,88.6412,7223805,7.223805
Lithuania,LTU,Europe & Central Asia,High income,2.53752574011534,19.7050461518394,87.7242,2831639,2.831639
Luxembourg,LUX,Europe & Central Asia,High income,-1.09505351160836,6.33600807777913,98.242,653103,0.653103
"Macao SAR, China",MAC,East Asia & Pacific,High income,-19.6093449325728,1.04502802369957,87.9696,677300,0.6773
Madagascar,MDG,Sub-Saharan Africa ,Low income,4.15609778380812,8.16059031991847,18.5532,30437261,30.437261
Malawi,MWI,Sub-Saharan Africa ,Low income,0.921115069005936,20.953969729969,17.0457,20568728,20.568728
Malaysia,MYS,East Asia & Pacific,Upper middle income,8.86182187578046,3.37869862549933,97.3986,34695493,34.695493
Maldives,MDV,South Asia,Upper middle income,13.8260895306814,2.33314337624572,83.9119,524106,0.524106
Mali,MLI,Sub-Saharan Africa ,Low income,3.5082827896139,9.62147608489068,34.3797,23072640,23.07264
Malta,MLT,"Middle East, North Africa, Afghanistan & Pakistan",High income,4.26931853012293,6.15375621933036,91.5406,531113,0.531113
Mauritania,MRT,Sub-Saharan Africa ,Lower middle income,6.79600510182286,9.52526628622842,34.3001,4875637,4.875637
Mauritius,MUS,Sub-Saharan Africa ,Upper middle income,8.69306675264066,10.7737512242899,75.5,1262523,1.262523
Mexico,MEX,Latin America & Caribbean ,Upper middle income,3.71098893117183,7.89627619168551,78.6322,128613117,128.613117
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,-2.90586580595669,5.40874375479069,,112114,0.112114
Moldova,MDA,Europe & Central Asia,Upper middle income,-4.60000000000001,28.7372976766236,76.7412,2528654,2.528654
Mongolia,MNG,East Asia & Pacific,Upper middle income,5.0327096366527,15.1509728200805,82.1725,3433748,3.433748
Montenegro,MNE,Europe & Central Asia,Upper middle income,6.40668032879275,13.0403036347004,88.2219,623591,0.623591
Morocco,MAR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1.52720357976111,6.65704202759066,89.9,37329064,37.329064
Mozambique,MOZ,Sub-Saharan Africa ,Low income,4.36445074432608,10.2794018093421,18.7913,32656246,32.656246
Namibia,NAM,Sub-Saharan Africa ,Lower middle income,5.39872476224093,6.08128114112416,61.1485,2889662,2.889662
Nepal,NPL,South Asia,Lower middle income,5.6313145568451,7.6507917679853,53.8878,29715436,29.715436
Netherlands,NLD,Europe & Central Asia,High income,5.00723455159611,10.0012078753473,92.5197,17700982,17.700982
New Zealand,NZL,East Asia & Pacific,High income,3.49638686458842,7.17222476016446,96.1942,5117100,5.1171
Nicaragua,NIC,Latin America & Caribbean ,Lower middle income,3.55029945613975,10.4674244465991,49.1307,6730654,6.730654
Niger,NER,Sub-Saharan Africa ,Low income,11.9000000000277,4.22621791916397,23.2982,25311973,25.311973
Nigeria,NGA,Sub-Saharan Africa ,Lower middle income,3.25168140827093,18.8471877843274,37.6975,223150896,223.150896
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2.75888415332967,14.2047173195833,85.008,1831712,1.831712
Norway,NOR,Europe & Central Asia,High income,3.24622860260932,5.76412317852275,99.0,5457127,5.457127
Oman,OMN,"Middle East, North Africa, Afghanistan & Pakistan",High income,7.98570728354278,2.50614250614251,95.2453,4730226,4.730226
Pakistan,PAK,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,4.7781068690358,19.8738599646655,24.2103,243700667,243.700667
Palau,PLW,East Asia & Pacific,High income,-1.31842716655024,12.3526638378124,,17759,0.017759
Panama,PAN,Latin America & Caribbean ,High income,10.769665870619,2.85965128834714,77.7041,4400773,4.400773
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,5.70758404238197,5.25323922215241,23.7315,10203169,10.203169
Paraguay,PRY,Latin America & Caribbean ,Upper middle income,0.176038366124061,9.76556667164403,76.2592,6760464,6.760464
Peru,PER,Latin America & Caribbean ,Upper middle income,2.8090335533015,8.33370630096233,74.675,33475438,33.475438
Philippines,PHL,East Asia & Pacific,Lower middle income,7.58098212785563,5.82115811213955,75.2111,113964338,113.964338
Poland,POL,Europe & Central Asia,High income,5.25545697386036,14.4294507575758,86.9411,36821749,36.821749
Portugal,PRT,Europe & Central Asia,High income,6.9858417811997,7.83269124233322,84.4969,10434332,10.434332
Qatar,QAT,"Middle East, North Africa, Afghanistan & Pakistan",High income,4.18500970982862,4.99527553740757,99.6528,2657333,2.657333
Romania,ROU,Europe & Central Asia,High income,3.96530766311717,13.7954887432521,85.5031,19048502,19.048502
Rwanda,RWA,Sub-Saharan Africa ,Low income,8.16120720872912,17.6892095588153,31.2252,13651030,13.65103
Samoa,WSM,East Asia & Pacific,Upper middle income,-5.30629089966979,10.9618822286844,57.3288,215261,0.215261
San Marino,SMR,Europe & Central Asia,High income,7.89844145767604,5.32545321311364,85.0607,33755,0.033755
Sao Tome and Principe,STP,Sub-Saharan Africa ,Lower middle income,0.168698492216564,18.0056351122841,61.5535,226305,0.226305
Saudi Arabia,SAU,"Middle East, North Africa, Afghanistan & Pakistan",High income,12.0005874752929,2.47407371925371,100.0,32175224,32.175224
Senegal,SEN,Sub-Saharan Africa ,Lower middle income,3.85043193735768,9.69681899081074,59.2246,17651103,17.651103
Serbia,SRB,Europe & Central Asia,Upper middle income,2.63098644408841,11.9815117344702,83.5383,6664449,6.664449
Seychelles,SYC,Sub-Saharan Africa ,High income,12.7104688902836,2.62603632851287,87.0353,119878,0.119878
Sierra Leone,SLE,Sub-Saharan Africa ,Low income,5.3135546141915,27.2082883814653,19.2287,8276807,8.276807
Singapore,SGP,East Asia & Pacific,High income,4.10800021897151,6.13095418919736,95.9539,5637022,5.637022
Slovak Republic,SVK,Europe & Central Asia,High income,0.437359508569173,12.774146363761,89.0677,5431752,5.431752
Slovenia,SVN,Europe & Central Asia,High income,2.69923874523828,8.83369886749455,88.9125,2112076,2.112076
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2.40248143622522,5.51812928576935,42.094,781066,0.781066
South Africa,ZAF,Sub-Saharan Africa ,Upper middle income,1.91147996033504,7.03987272546481,75.4556,62378410,62.37841
Spain,ESP,Europe & Central Asia,High income,6.17931219966114,8.39057634118634,94.4855,47786102,47.786102
Sri Lanka,LKA,South Asia,Lower middle income,-7.34919301306745,49.7211021114328,48.3,22181000,22.181
St. Kitts and Nevis,KNA,Latin America & Caribbean ,High income,10.3424040546025,2.66817533111249,75.5566,46709,0.046709
St. Lucia,LCA,Latin America & Caribbean ,Upper middle income,20.3884431828414,6.37814695133356,65.3544,178781,0.178781
St. Vincent and the Grenadines,VCT,Latin America & Caribbean ,Upper middle income,3.1108330034352,5.66009779226555,71.7226,102046,0.102046
Sudan,SDN,Sub-Saharan Africa ,Low income,-0.957816591119183,138.808460241759,,49383346,49.383346
Suriname,SUR,Latin America & Caribbean ,Upper middle income,2.40622235601218,52.446027276241,77.6494,623164,0.623164
Sweden,SWE,Europe & Central Asia,High income,1.45928849980044,8.36929098869185,95.0097,10486941,10.486941
Switzerland,CHE,Europe & Central Asia,High income,3.04406102969423,2.8350279864446,96.4528,8777088,8.777088
Tanzania,TZA,Sub-Saharan Africa ,Lower middle income,4.56600576430955,4.35027204269098,22.101,64711821,64.711821
Thailand,THA,East Asia & Pacific,Upper middle income,2.58037874709827,-1.6106803048669,87.9772,71735329,71.735329
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,-20.5415847471733,7.00530945399787,34.5102,1369295,1.369295
Togo,TGO,Sub-Saharan Africa ,Low income,5.75954251521733,7.96757361617943,35.5105,9089738,9.089738
Tonga,TON,East Asia & Pacific,Upper middle income,-2.3098644452046,10.9713652903022,57.7181,105042,0.105042
Trinidad and Tobago,TTO,Latin America & Caribbean ,High income,1.08222233950819,5.82838638517964,84.4957,1365805,1.365805
Tunisia,TUN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2.67331821840567,8.30646124447624,70.5532,12119334,12.119334
Turkiye,TUR,Europe & Central Asia,Upper middle income,5.53342787492781,72.3088359891207,83.4372,84979913,84.979913
Uganda,UGA,Sub-Saharan Africa ,Low income,4.58802192181773,7.19578885975811,11.1246,47312719,47.312719
Ukraine,UKR,Europe & Central Asia,Upper middle income,-28.7585842155085,20.1836366617478,82.6753,41048766,41.048766
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",High income,7.50969703496445,5.29122604376852,100.0,10074977,10.074977
United Kingdom,GBR,Europe & Central Asia,High income,4.83908517877134,7.92204883147907,96.2989,67604000,67.604
United States,USA,North America,High income,2.5123753198332,8.00279982052121,92.2016,334017321,334.017321
Uruguay,URY,Latin America & Caribbean ,High income,4.48622703072073,9.10437983075439,89.873,3390913,3.390913
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,6.00134232203442,11.4466436998836,83.9,34938955,34.938955
Vanuatu,VUT,East Asia & Pacific,Lower middle income,5.18622862422562,6.67930581887123,45.6747,313046,0.313046
Viet Nam,VNM,East Asia & Pacific,Lower middle income,8.53750046755788,3.15650749963127,78.59,99680655,99.680655
West Bank and Gaza,PSE,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,4.08276027347105,3.74122391852073,88.6469,5043612,5.043612
Zambia,ZMB,Sub-Saharan Africa ,Lower middle income,5.21122360356247,10.9932039209136,15.0,20152938,20.152938
Zimbabwe,ZWE,Sub-Saharan Africa ,Lower middle income,6.1391761744749,104.705170628667,37.8861,16069056,16.069056
